date,open,high,low,close,volume
1998-12-22,25.3125,25.46875,25.3125,25.46875,3700
1998-12-23,25.5,25.75,25.46875,25.578125,12000
1998-12-24,25.9375,26.046875,25.8125,26.046875,1600
1998-12-28,25.921875,25.9375,25.8125,25.8125,8600
1998-12-29,25.890625,26.375,25.890625,26.375,1100
1998-12-30,26.359375,26.40625,26.15625,26.15625,31700
1998-12-31,26.15625,26.25,26.125,26.125,32400
1999-01-04,26.15625,26.53125,25.90625,25.96875,5200
1999-01-05,26.125,26.40625,26.125,26.40625,1300
1999-01-06,26.71875,27.15625,26.71875,27.15625,8100
1999-01-07,27.03125,27.3125,27.0,27.125,13700
1999-01-08,27.28125,27.40625,27.109375,27.15625,18600
1999-01-11,27.25,27.28125,26.796875,27.015625,63100
1999-01-12,26.609375,26.6875,26.28125,26.3125,3300
1999-01-13,25.6875,26.4375,25.6875,26.4375,3400
1999-01-14,26.1875,26.3125,25.71875,25.84375,36600
1999-01-15,26.1875,26.203125,26.046875,26.171875,34800
1999-01-19,26.46875,26.578125,26.15625,26.15625,4100
1999-01-20,26.53125,26.84375,26.421875,26.59375,3500
1999-01-21,26.53125,26.5625,26.28125,26.34375,31500
1999-01-22,25.9375,26.546875,25.875,26.46875,12300
1999-01-25,26.34375,26.46875,26.21875,26.40625,8100
1999-01-26,26.5625,27.03125,26.484375,27.03125,3700
1999-01-27,27.0625,27.125,27.0,27.0,1900
1999-01-28,27.0625,27.28125,27.0625,27.28125,4300
1999-01-29,27.375,27.5625,27.1875,27.46875,6800
1999-02-01,27.59375,27.609375,27.4375,27.53125,6100
1999-02-02,27.3125,27.3125,26.9375,27.1875,20900
1999-02-03,27.125,27.65625,27.09375,27.625,23100
1999-02-04,27.796875,27.828125,27.4375,27.46875,19500
1999-02-05,27.1875,27.359375,26.78125,26.78125,5800
1999-02-08,27.015625,27.21875,26.671875,27.21875,8200
1999-02-09,26.875,26.90625,26.375,26.375,9400
1999-02-10,26.34375,26.53125,26.21875,26.375,9200
1999-02-11,26.53125,27.265625,26.453125,27.234375,12200
1999-02-12,26.875,26.90625,26.578125,26.75,5800
1999-02-16,26.984375,27.25,26.96875,27.09375,9300
1999-02-17,27.15625,27.546875,27.0,27.0,14700
1999-02-18,27.0,27.03125,26.765625,27.03125,3500
1999-02-19,27.0625,27.171875,26.984375,27.171875,900
1999-02-22,27.25,27.859375,27.25,27.859375,14000
1999-02-23,27.875,27.90625,27.5,27.71875,6800
1999-02-24,27.90625,28.09375,27.375,27.375,9000
1999-02-25,27.3125,27.34375,26.65625,27.0625,19100
1999-02-26,27.03125,27.40625,27.03125,27.296875,8500
1999-03-01,27.21875,27.3125,27.0625,27.3125,8600
1999-03-02,27.375,27.703125,27.375,27.375,18100
1999-03-03,27.40625,27.453125,27.234375,27.234375,1000
1999-03-04,27.84375,27.90625,27.5625,27.8125,5400
1999-03-05,28.4375,28.84375,28.4375,28.65625,24800
1999-03-08,28.875,28.875,28.40625,28.78125,12300
1999-03-09,28.71875,29.03125,28.640625,28.859375,12100
1999-03-10,28.875,28.921875,28.71875,28.78125,5600
1999-03-11,29.0,29.265625,28.921875,29.09375,13100
1999-03-12,29.40625,29.5625,28.5,29.21875,13700
1999-03-15,29.1875,29.296875,29.0,29.28125,7100
1999-03-16,29.46875,29.46875,29.0,29.125,6200
1999-03-17,29.09375,29.09375,28.71875,29.0,6700
1999-03-18,28.8125,29.5,28.8125,29.5,7000
1999-03-19,29.46875,29.46875,29.0625,29.0625,13100
1999-03-22,29.0,29.0,28.625,28.75,18600
1999-03-23,28.53125,28.53125,27.8125,27.875,9800
1999-03-24,28.0,28.0,27.59375,27.65625,12900
1999-03-25,28.09375,28.5,27.9375,28.5,10200
1999-03-26,28.4375,28.5625,28.1875,28.3125,6300
1999-03-29,28.796875,29.0,28.734375,29.0,5100
1999-03-30,28.875,29.09375,28.78125,29.03125,36300
1999-03-31,29.1875,29.21875,28.59375,28.59375,24400
1999-04-01,28.75,28.75,28.390625,28.5625,4100
1999-04-05,28.75,29.03125,28.65625,28.9375,9600
1999-04-06,29.046875,29.28125,28.9375,29.09375,10900
